student_id,gender,age,study_hours,attendance,assignment_score,midterm_score,final_score,passed
S001,F,19,15,95,85,78,82,1
S002,M,20,8,75,65,62,68,1
S003,F,18,20,98,92,88,90,1
S004,M,21,5,60,55,45,50,0
S005,F,19,12,88,75,70,74,1
S006,M,20,18,92,88,85,87,1
S007,F,22,6,65,60,55,58,0
S008,M,19,14,90,80,75,78,1
S009,F,20,10,80,70,68,72,1
S010,M,18,16,94,85,80,83,1
S011,F,21,7,70,62,58,62,1
S012,M,19,13,86,78,72,76,1
S013,F,20,9,78,68,65,69,1
S014,M,22,4,55,50,42,48,0
S015,F,19,17,96,90,86,88,1
S016,M,20,11,82,72,70,73,1
S017,F,18,19,97,91,87,89,1
S018,M,21,8,72,66,63,67,1
S019,F,19,14,89,79,76,79,1
S020,M,20,6,68,58,52,56,0
S021,F,22,12,84,76,71,75,1
S022,M,19,15,91,82,78,81,1
S023,F,20,9,76,67,64,68,1
S024,M,18,18,95,89,84,86,1
S025,F,21,7,71,63,59,63,1
S026,M,19,13,87,77,73,77,1
S027,F,20,10,81,71,69,73,1
S028,M,22,5,62,56,48,52,0
S029,F,19,16,93,86,81,84,1
S030,M,20,11,83,73,71,74,1
